person_id,institution,program,location
20108,NORTHERN ILLINOIS UNIVERSITY,Bachelor of Science in Computer Science,
20109,University of Mississippi,Management Information Systems,
20109,Northwest Mississippi Community College,Management Information Systems,
20111,Pennsylvania State University,Bachelor of Science in Business Management,
20112,Southern Polytechnic State University,Computer Science,"Marietta, GA"
20113,Bloomsburg University,Bachelor's Degree,
20113,Lackawanna Junior College,Associate Degree,
20113,Old Forge High School,,
20114,Barathiyar University,Master's in Computer Science and Engineering,"Coimbatore, Tamil Nadu"
20114,Nagpur University,Bachelor's in Computer Technology and Engineering,"Nagpur, Maharashtra"
20115,Central Michigan University,"Bachelor of Science (BS), Business Administration",
20116,ECPI College of Technology,"Associate of Science in (AS), Computer Networking","Charlotte, NC"
20116,East Carolina University,IBM Certified,"Greenville, NC"
20117,University of Cincinnati,Bachelor of Business Administration in Finance/Information Systems,"Cincinnati, OH"
20118,University of Science and Arts of Oklahoma,Associates Degree in Liberal Arts,"Chickasha, OK"
20118,Fulton Montgomery Community College,,"New York, NY"
20119,Metro State University,Business Management,"Saint Paul, MN"
20119,Axia College,,"Phoenix, AZ"
20120,Metropolitan State University,Bachelors of Science in COMPUTER SCIENCE,"Saint Paul, MN"
20120,Century College,management,"White Bear Lake, MN"
20121,"Texas A&M University - Commerce, TX",Master of Science in Business Analytics,"Commerce, TX"
20121,"GITAM University - Visakhapatnam, Andhra Pradesh",Master of Computer Applications,"Visakhapatnam, Andhra Pradesh"
20121,"Acharya Nagarjuna University - Guntur, Andhra Pradesh",Bachelor of Computer Applications,"Guntur, Andhra Pradesh"
20122,Rio Salado Community College,GED,"Phoenix, AZ"
20123,"JNTU - Hyderabad, Telangana",B -Tech,"Hyderabad, Telangana"
20124,University of South Carolina,Bachelors of Geography in Geography,South Carolina
20125,Sussex County Community College,Associates Degree in Database Management,2009 to 2013
20126,Massachusetts Institute of Technology,Master of Science,"Cambridge, MA"
20128,University of Montana Helena College of Technology,"Associate in Computer Technology, Webmaster","Helena, MT"
20128,University of Montana Helena College of Technology,"Associate in Computer Technology, Programming","Helena, MT"
20129,Universidad Francisco Gavidia,Bachelor's in Telecommunications,San Salvador
20130,Addis Ababa University,Bachelor's in Computer Engineering,"Addis Ababa, Ethiopia"
20131,Fisher College,A.S. in Medical Assisting/Computers,
20132,The University of Texas at Dallas,Master of Science in Information Technology,"Richardson, TX"
20132,Jawaharlal Nehru Technological University,Bachelors of Technology in Computer Science and Engineering,
20133,University of Massachusetts,Bachelor of Arts,"Amherst, MA"
20135,PSB Academy,Diploma in Business Administration,
20135,St Ursula's Convent School,Certificate Primary School,
20135,Guilford Training Centre Pte Ltd,,
20136,"Clark University, Computer Career Institute",Master Certificate,"Cambridge, MA"
20136,Curry College,Business / Computer Sciences,"Milton, MA"
20138,Universidad de El Salvador,Business Consulting,San Salvador
20138,Universidad Dr. José Matias Delgado,Bachelor's in Computer Science,San Salvador
20139,Broward Community College,B.A.S,"Fort Lauderdale, FL"
20139,Mandl School of Allied Health,Certified Medical Assistant,"New York, NY"
20139,Bronx Community College,Associate in Arts,"Bronx, NY"
20139,Jane Addams Vocational H.S.,Diploma in Nurse Assistant in Experience,"Bronx, NY"
20140,California Southern University,Bachelor of Arts in Psychology,"Irvine, CA"
20140,New Kent High School,Diploma,
20142,University of Texas at Arlington,Master's in Computer Science,"Arlington, TX"
20142,B.V.B. College Of Engineering and Technology,Bachelor's in Computer Science,"Hubli, Karnataka"
20143,Franklin University,Bachelor of Science in business,
20143,Franklin University,Associate of Applied Science in CS / CSCC,
20144,Marlboro College-Graduate School,Master's in Science Management,"Brattleboro, VT"
20144,Franklin Pierce University,Bachelor's in Computer Science,"Keene, NH"
20144,Southern Vermont College,None in Accounting,"Brattleboro, VT"
20144,Community College of Vermont,Associate in Accounting,"Brattleboro, VT"
20145,University of Ghana,Bachelor's in Agricultural Economics,"Accra, Ghana"
20145,University of Florida,International Farm Fellows Program,"Gainesville, FL"
20146,Georgia Institute of Technology,Master of Science,"Atlanta, GA"
20147,University of South Florida,Bachelor of Science in Management Information Systems,"Tampa, FL"
20148,University of South Florida,Bachelor of Science in Business Administration,
20149,COLORADO STATE UNIVERSITY,Bachelor of Arts in Social Science,
20149,INFORMATION TECHNOLOGY INSTITUTE,Post-Graduate Certificate in Applied Information Technology in Applied Information Technology,
20150,Queens College of the City University of New York,B.A. in Computer Science,New York
20151,Bellevue University,Bachelor of Science in Management,"Bellevue, NE"
20152,University of Massachusetts,Master's in Computer Science,
20153,Amirkabir university of technology,BS in software engineering,"Houston, TX"
20154,Baker University,Bachelor of Business Administration in Business Administration,
20154,Kansas City Kansas Community College,Associates of General Studies in General Studies,"Kansas City, KS"
20155,Art Institute of Philadelphia,Certificate of Completion in Commercial Art,"Philadelphia, PA"
20155,Millersville University of Pennsylvania,Bachelor of Science in Communications,"Millersville, PA"
20156,Northern Arizona University,BSBA in Computer Information Systems,"Flagstaff, AZ"
20157,Penn Foster College,Bachelor's Degree in Business Management,"Foster, PA"
20157,St. Petersburg High School,Diploma,"Saint Petersburg, FL"
20158,Wayne County Community College,Diploma in Liberal Arts,
20159,UNIVERSITY OF PHOENIX,MBA,
20159,DEVRY INSTITUTE OF TECHNOLOGY,Bachelors of Electronic Engineering and Technology,
20160,Nagpur University,"Master of Science in (MSc), Electronics and electro acoustics","Nagpur, Maharashtra"
20160,Nagpur University,Diploma in Computer Science and Applications,"Nagpur, Maharashtra"
20161,University of Southern Maine,Bachelor Degree in Accounting,
20161,University of Southern Maine,Bachelor Degree Business Administration,
20162,New York University,Master of Science in Management and Systems,"New York, NY"
20162,Pennsylvania State University,Bachelor of Science in Psychology,"University Park, PA"
20163,Bachelor's,,
20164,SOUTHWESTERN OKLAHOMA STATE UNIVERSITY,BACHELOR OF BUSINESS ADMINISTRATION in MARKETING,"Moore, OK"
20165,Bachelor's in Computer Science and Master's Level Certificate in Information Systems and Operations Management,,
20166,Stillman College,BS in Computer Science,"Tuscaloosa, AL"
20167,COLLEGE OF MARIN,Bachelor of Science in Computer Science,"Kentfield, CA"
20168,University of Western Sydney,Bachelor of Science in Physics,Sydney NSW
20168,The University of Sydney,"Bachelor of Medicine, Bachelor of Surgery",Sydney NSW
20169,University of Nebraska - Omaha,M.B.A. in MIS & Finance,"Omaha, NE"
20169,Eastern Kentucky University,Bachelor's in Psychology,"Richmond, KY"
20170,Madurai Kamaraj University,Master of Computer Application,"Madurai, Tamil Nadu"
20170,Dr B.R. Ambedkar Open University,B.Com,
20171,St. John's University,Masters in Computer Science,"Queens, NY"
20172,Institute of Info Technology,Post Graduate Diploma in Web Technology,
20172,Rani Durgavati University,Bachelor of Science in Computer Science,"Rani, Rajasthan"
20172,Kanga High School,Certificate of Secondary Education,
20173,UNIVERSITY OF CENTRAL FLORIDA,Master of Business Administration in Specialization,"Orlando, FL"
20173,UNIVERSITY OF CENTRAL FLORIDA,Bachelor of Science in Business Administration,"Orlando, FL"
20174,University of Florida,Master of Science in Business,"City of Sunrise, FL"
20174,University of Memphis,Master of Science in Electrical Engineering,"Memphis, TN"
20175,JNTU,Bachelor of Technology in Electronics & Communication Engineering,
20177,Kennesaw State University,Information Systems,"Atlanta, GA"
20177,City University of New York,Computer Sciences,"New York, NY"
20177,Jiangxi University,BA in Law,"Nanchang, CN"
20178,Aptech,Diploma in Information & Systems Management,
20178,C-DAC (Center for Development of Advanced Computing,Diploma in Advance Computing,
20178,Gujarat University,B. Com,
20179,Strayer University,Master of Science in Information Systems Technology,"Alexandria, VA"
20180,UNC Charlotte,"BA in English, Psychology","Charlotte, NC"
20181,Hawaii Pacific University,BSBA in Computer Information Systems,
20182,University of Madras,Bachelor of Science,"Chennai, Tamil Nadu"
20183,Lincoln Culinary Institute,Associates Degree in Culinary Arts,"Columbia, MD"
20183,Long Reach High School,High School Diploma,"Columbia, MD"
20183,Workforce and Technology Center,High School Diploma,"Baltimore, MD"
20184,NRI McGraw-Hill,Vocational in Computer Programming,"Washington, DC"
20184,University of Akron,Nearly completed in Chemistry,"Akron, OH"
20185,New York City College of Technology,Bachelor of Technology in Computer Systems,"Brooklyn, NY"
20185,Queensborough Community College,Associate in Science in Liberal Arts,"Bayside, NY"
20186,Bombay University,PMP and Management Domains in Electronics and Telecom Engineer,
20187,Texas State University,BBA in Computer Information Systems/BA,"San Marcos, TX"
20187,University of Southern California,MBA in Information Systems,
20189,University of Maryland - College Park,Master of Science in Management Information Systems,"College Park, MD"
20189,George Mason University,Bachelors of Science in Computer Science,"Fairfax, VA"
20190,College of Saint Elizabeth,MA in Counseling Psychology,"Morristown, NJ"
20190,College of Saint Elizabeth,BA in Psychology,"Morristown, NJ"
20191,Towson University,Bachelor of Science degree in Computer Information Systems,"Towson, MD"
20192,University of the Incarnate Word,Bachelor of Arts in Communication Arts,"San Antonio, TX"
20192,Rackspace Open Cloud Academy,,
20192,Castle Hills First Baptist School,,
20193,Sam Houston State University,Bachelor of Science degree in Computer Science,"Houston, TX"
20193,Trinity Valley Community College,Computer science,"Palestine, TX"
20195,California State University,Comparative Literature,
20195,Saddleback Community College,Associate's in English and Journalism,
20196,Plaza College,Bachelor in Business Administration in Management,"Forest Hills, NY"
20197,University of Alabama in Huntsville,Master of Science Degree in Chemistry (Candidate) in Qualitative Chemical Analysis / Phytochemistry,"Huntsville, AL"
20197,The University of Alabama in Huntsville,"Bachelor of Science, Cum Laude in Chemistry and Math","Huntsville, AL"
20197,Calhoun Community College,General Education Reqs,"Huntsville, AL"
20198,THE PENNSYLVANIA STATE UNIVERSITY,Master of Science in Electronic Business,"Pittsburgh, PA"
20198,DUQUESNE UNIVERSITY,Bachelor of Science in Administration of Justice,
20199,Park University,Bachelor of Management Studies in Human Resources Management,"Parkville, MO"
20199,Community College of the Air Force,Associate of Applied Science in Information Technology,"Maxwell AFB, AL"
20199,Park University,MBA,"Parkville, MO"
20200,Micro Center,,
20200,"Penn State University, Great Valley",MBA,
20200,Temple University,BS in Business Administration,
20200,Bloomsburg State College,Business Administration,
20200,Montgomery County Community College,,
20201,Baker College,Bachelor of Computer Science in Computer Science,"Flint, MI"
20202,"Gwinnett Technical College, Rockhurst University, Total Training Network",,
20203,Osmania University,PGDM in Information Systems & Computer Applications,
20205,Univ. of Phoenix,Bachelor of Science in Information Systems,"Cleveland, OH"
20205,Southern Ohio College,Associate of Applied Business in Computer Science,"Akron, OH"
20206,Bryant College,BS in Actuarial Mathematics,May 1995
20207,Essex County College,Associate in computer science,
20208,University of Texas at San Antonio,Bachelor of Business Administration in Management Information Systems,"San Antonio, TX"
20208,Trinity University,,"San Antonio, TX"
20209,Finger Lakes Community College,A.A.S in Social Science,"Canandaigua, NY"
20210,ATS Institute of Technology,Associate Degree in Computer Programming and Design,"Cleveland, OH"
20210,Case Western Reserve University,Computer Science,"Cleveland, OH"
20211,Phoenixville Area High School,,"Phoenixville, PA"
20213,Harrisburg Area Community College,A.A.S. in Web Development and Design,"Harrisburg, PA"
20214,Cleary University,Bachelor of Business Administration in Management Information Technology,"Ann Arbor, MI"
20214,University of Phoenix,Master in Education,"Ann Arbor, MI"
20215,"Kennesaw State University, College of Computing & Software Engineering",Bachelor of Science in Computer Science in Programming,"Kennesaw, GA"
20216,Mercyhurst University,Bachelors of Arts in History,"Erie, PA"
20216,Slippery Rock University,,"Slippery Rock, PA"
20216,"Information Systems Technician ""A"" School",,"Pensacola, FL"
20216,Civic Leadership Academy,Masters of Science in Secondary Education,
20217,Iowa State University,Bachelor of Science in Computer Engineering,"Johnston, IA"
20218,North Carolina State University,Bachelor of Science in Business Administration,"Raleigh, NC"
20219,Hunter College,B.A. in Human Biology,"New York, NY"
20220,Acharya Nagarjuna University,Masters in Computer Science,"Guntur, Andhra Pradesh"
20220,University of Central Missouri,Masters in Computer Science,
20221,Bahria University,Bachelors in Business Administration,
20222,Boston University,Certificate in Paralegal,"Boston, MA"
20222,Gibbs College of Boston,Associate of Applied Science in Visual Communications,
20223,Miami Dade College,AA in Electrical Engineering,"Miami, FL"
20224,California State University,Bachelor of Arts degree in Sociology,
20224,Los Angeles Trade Technical College,Certificate,
20225,University of South Florida,Bachelor of Science in Information Technology in BSIT,"Tampa, FL"
20225,Union County College,"Associate of Science in (AS), Computer Information System & Technology","Elizabeth, NJ"
20226,Cornell University,Business Administration in Business Consulting,"Binghamton, NY"
20227,University of Pennsylvania Wharton Aresty Institute of Executive Education,"Certificate, Sport Management Industry Essentials","Philadelphia, PA"
20227,Columbia University in the City of New York,Masters of Business Administration in Management,"New York, NY"
20227,Maryville University John E. Simon School of Business,Bachelors of Science in Sport Management,
20227,Ohio Dominican University,,"Columbus, OH"
20228,University of District of Columbia,,"Washington, DC"
20229,Los Angeles Trade Technical College,Certificate,"Los Angeles, CA"
20229,California State University,Bachelor of Arts degree in Sociology,
20230,,,
20231,California State Polytechnic University-Pomona,Bachelor's in Computer Science,"Pomona, CA"
20232,The University of Texas at Dallas,M.S. in Information Technology and Management,"Dallas, TX"
20233,University of Southern California,Bachelor of Science in Business Administration in Finance,"Los Angeles, CA"
20234,The City College of New York,Bachelor of Engineering in Computer Engineering,New York
20234,Holy Family Jesuit School,High School Diploma,
20235,St. Cloud Technical Community College,A.A.S in Computer Programming,"Saint Cloud, MN"
20236,Edinboro University of Pennsylvania,Computer Science,"Edinboro, PA"
20237,Trinity Washington University,Bachelor of Science in Communication Management & Design,"Washington, DC"
20238,University of Dayton,Bachelor of Science in Management Infomration Systems,
20239,Electronics and Communication Institute of Engineering & Management,Bachelor of Technology in Electronics and Communication Engineering,
20240,University of Phoenix,BA in Business Management,
20240,Guilford Tech Community College,Associates in Business,
20241,,,
20242,Visvesvaraya Technological University,Bachelor of Engineering in ECE,Bangalore
20243,"Polytechnic University - Hato Rey, PR",Bachelor of Computer Engineering in Computer Engineering,"Hato Rey, PR"
20244,Universidad del Turabo,Bachelor of Science in Computer Engineering,"Gurabo, PR, US"
20245,Troy University,Bachelor of Science in Broadcast Journalism,"Troy, AL"
20246,McCann School of Business & Technology,Associates Degree in Network Administration and security,"Sunbury, PA"
20247,University of North Dakota,Bachelor's in Marketing,"Grand Forks, ND"
20248,"The Pennsylvania State University - University Park, PA",Bachelor of Science in Computer Science,"University Park, PA"
20249,University of Findlay,Bachelor of Science in Marketing,"Findlay, OH"
20249,Southern Utah University,Business Management,"Cedar City, UT"
20249,Orange Coast College,Certificate in Leadership,"Costa Mesa, CA"
20250,Bharathiar University,MCA,
20251,Covenant Theological Seminary,Associate's Degree,"Creve Coeur, MO"
20251,University of Maryland University College,Bachelor of Science in Information Systems,"Adelphi, MD"
20252,University of North Texas,Masters in Computer Science,"Denton, TX"
20252,Osmania University,Bachelors in Information Technology,
20253,The University of Texas at Dallas,Masters in Management Information Systems,"Dallas, TX"
20253,Indira Gandhi National Open University,Bachelors in Aerospace Engineering,"Bengaluru, Karnataka"
20254,Morgan State University,Masters in Business Administration,"Baltimore, MD"
20254,Kennesaw State University,MSc. in Information Technology,"Kennesaw, GA"
20254,Lagos State University,BSc. in Electronics and Computer Engineering,
20255,Modern University for Business and Science,Bachelor's in Computer Science,"Lebanon, OH"
20256,Bachelor's,Computer Management and Information Systems,
20257,"Faculty of Natural Sciences - Tirana, AL",Bachelor of Science in Computer Science,"Tirana, AL"
20257,"Faculty of Natural Sciences - Tirana, AL",Master of Science in Business Informatics,"Tirana, AL"
20258,"Temple University, Fox School of Business",Bachelor's in Finance & Business Analytics,"Philadelphia, PA"
20259,Colorado State University,Bachelor of Science in Computer Science,"Fort Collins, CO"
20260,Marion Technical College,Associate of Applied Business in Software Development,
20262,Northwestern Polytechnic University,Master of Science in Computer Science,"Fremont, CA"
20262,Charotar Institute,Masters of Computer Application,"Gujarat, IN"
20263,Limkokwing University Of Creative Technology,Bachelor's in Business Information Technology,Malaysia
20264,HARDING UNIVERSITY,B.B.A. in MANAGEMENT INFORMATION SYSTEMS,May 2016
20265,University of North Carolina at Charlotte,"English, Technical Writing","Charlotte, NC"
20266,Purdue University,Master of Science in Computer Information Technology,"Columbus, OH"
20266,"Amity University - Noida, Uttar Pradesh",Bachelor of Technology in Computer Science,"Noida, Uttar Pradesh"
20267,New York University,Bachelors Degree in Information Systems Management,"New York, NY"
20267,Grantham University,Associates Degree in Computer Science,"Kansas City, KS"
20267,Longwood High School,High School Diploma,"Ridge, NY"
20268,Robert Fiance Beauty School,Diploma,Somerville
20268,Somerville High School,,"Somerville, NJ"
20269,University of New Haven,M.S. in Computer Science,"West Haven, CT"
20269,Pace University,M.S. in Information Systems,"White Plains, NY"
20269,Fordham University,B.S. in Computer Science,"Bronx, NY"
20270,Muhlenberg College,Bachelor of Arts in Business Administration,"Allentown, PA"
20271,Wright State University,Bachelor of Science in Computer Engineering,"Dayton, OH"
20272,"Universidade OPET - Curitiba, PR",IT Management technology,"Curitiba, PR"
20272,"Colégio Opet - Curitiba, PR",IT - High School,"Curitiba, PR"
20273,"University of Kentucky - Lexington, KY",Bachelors in Decision Science Information System,"Lexington, KY"
20274,Fort Hays State University,Masters of Science in Educational Administration,"Hays, KS"
20274,Saint Joseph College,Bachelors of Science,"Rensselaer, IN"
20275,Central State University,Bachelor of Science in Computer Science,"Wilberforce, OH"
20276,Devry University,B.S. Computer Networking Systems,"Atlanta, GA"
20277,Three Rivers Community Technical College,A.S. in Criminal Justice,"Norwich, CT"
20278,Washington State University,Bachelor of Arts in Business in Management Information Systems,"Pullman, WA"
20279,McDaniel College,Bachelor's Degree in Psychology,"Westminster, MD"
20280,The Wharton Business School,Baccalaureate in Business Marketing,"Philadelphia, PA"
20280,Rutgers University,B.A. in Psychology and Statistics,
20281,Automated Processing of Economical Information Institute of National Economy,B.S. in Computer Science,"Baltimore, MD"
20281,Catonsville Community College,,"Owings Mills, MD"
20282,University of Phoenix,Associates of Arts in Information Technology,
20283,Wilmington University,Masters in Management & Management Information Systems in Big Data,"Wilmington, DE"
20283,Wilmington University,Masters in Business Management & Organizational Leadership in Integrative Independent Study Project,
20283,Tatar State University of Humanities and Education,Bachelor of Arts in English and German Languages,"Kazan, RU"
20285,Keller,Master of Information Management Systems in Concentration and Information Security,"Petersburg, VA"
20285,Virginia State University,Master of Information Management Systems in Concentration and Information Security,"Petersburg, VA"
20286,IBMEC - RJ,MBA in Business Management,"Rio de Janeiro, RJ"
20286,UFRJ,BA in MOT - Network Computer Management,"Rio de Janeiro, RJ"
20286,UNESA,Bachelor in Computer science,"Rio de Janeiro, RJ"
20287,Towson University,Bachelor of Science degree in data modeling,"Towson, MD"
20287,CLI Technical Institute,,
20287,"University of Maryland, College Park",,"College Park, MD"
20288,Seneca College,"Diploma in Software Developer, Database Administrator","Toronto, ON"
20289,California State Polytechnic University at Pomona,Bachelor of Science in Computer Science,"Pomona, CA"
20290,Augustana College,Bachelor of Arts in Computer Science,"Sioux Falls, SD"
20291,Middlesex County College,,"Edison, NJ"
20291,Union County College,,"Cranford, NJ"
20292,University of North Georgia,Anthropology,"Watkinsville, GA"
20292,Georgia Perimeter College Newton County Campus,Business Administrations,"Covington, GA"
20293,Minnesota State University,Bachelor of Science,"Mankato, MN"
20293,Riverland Community College,Diploma,"Albert Lea, MN"
20294,University of North Carolina at Charlotte,Bachelor of Science in Computer Science,"Charlotte, NC"
20294,Catawba Valley Community College,,"Hickory, NC"
20295,Old Dominion University,B.S. in Business Administration,"Norfolk, VA"
20296,New York University,Masters Degree in Applied Psychology,New York
20296,University of Oregon,Bachelors Degree in Psychology,Oregon
20297,Universidad de Monterrey,Bachelor of Science in Computer Systems,
20298,"University of Maryland, Baltimore County","Bachelor's in Information Systems, Bachelor's in Political Science, Minor in Judaic Studies, Minor in International Affairs","Baltimore, MD"
20298,"University of Maryland, Baltimore County","Master's in Cybersecurity, Post-Baccalaureate Certificate in Cybersecurity Operations, Post-Baccalaureate Certificate in Cybersecurity Strategy and Policy","Baltimore, MD"
20299,"Big Data Technologies and smartCloud Enterprise (IBM BigData University), MongoDB University",MS in Computer Science,
20300,Primary/Secondary School/SPM,O Level,
20301,MINNESOTA STATE UNIVERSITY,Computer Science,
20301,MANKATO EAST HIGH SCHOOL,High school or equivalent,
20302,DeVry University,Bachelor of Science in Computer Information Systems,"Decatur, GA"
20303,Catawba Valley Community College,Associates of Computer Information Systems in Computer Information Systems,"Hickory, NC"
20304,St. Petersburg High School,,"Saint Petersburg, FL"
20305,VTU,Bachelors in electronics and communication Engineering,Engineering
20306,College of Liberal Arts,BA in German Studies,"Minneapolis, MN"
20306,University of Minnesota,College of Liberal Arts,"Minneapolis, MN"
20307,High school or equivalent,,
20308,Business Systems Computer Learning Center,,"Laurel, MD"
20308,Howard Community College,Psychology and Human Development,"Columbia, MD"
20309,Cincinnati State College,Certificate,"Cincinnati, OH"
20310,"CISCO Academy - Woodbridge, VA",Diploma in Business Management,"Woodbridge, VA"
20311,East Tennessee State University,Bachelor of Fine Arts degree in studio arts/graphic design and a secondary,Elizabethton High School 1993
20313,"American University, School of Communications",Bachelor of Arts in Public Communication & Spanish Language,"Washington, DC"
20314,Brown College of Court Reporting,,
20314,University of Phoenix,Master of Science in Computer Information Systems,
20314,Indiana University,Bachelor of Arts in Telecommunications/Business Administration,
20315,High School Macon,High School Diploma,"Macon, MO"
20315,Metropolitan Area Community College,,"Kansas City, MO"
20316,University of Washington,Certificate in Business Intelligence,"Bellevue, WA"
20316,University of Washington,Certificate in Database Management,"Bellevue, WA"
20316,University of Maryland,"M.E., Project Management","College Park, MD"
20316,Bucknell University,B.S. in Mechanical Engineering,
20317,University of California - Irvine,BA in Psychology,"Irvine, CA"
20318,Florida International University,Master of Science in Management of Information Systems,"Miami, FL"
20318,Vanderbilt University,Bachelor of Science in Neuroscience,"Nashville, TN"
20320,Lehigh University,Master's in Healthcare Systems Engineering,"Bethlehem, PA"
20320,Lafayette College,Bachelor's in Computer Science and Philosophy,"Easton, PA"
20321,"Pepperdine University, Graduate School of Education and Psychology",PhD. in Global Leadership and Change Program,"Malibu, CA"
20321,"Georgia State University, J. Mack Robinson College of Business",Master of Science in Marketing,"Atlanta, GA"
20321,"Georgia State University, J. Mack Robinson College of Business",Bachelor of Business Administration in Computer Information Systems,"Atlanta, GA"
20322,DAVENPORT UNIVERSITY,Bachelor of Science in Data Management,"Grand Rapids, MI"
20323,Montgomery College,MCSE Exam Cram Preparations,
20323,Watkin's Mill High School,Technical Writing,
20325,Mat Su College,AAS CIS,"Palmer, AK"
20325,"University of Alaska, Mat Su College",AAS in Computer Information Systems,
20326,"University of Maryland - Baltimore, MD",Master of Science in Computer Science,"Baltimore, MD"
20326,Biju Patnaik University of Technology,Electronics & Telecommunications,
20327,San Jose State University,Computer Science,
20327,University of California Santa Cruz Extension,,"Santa Cruz, CA"
20328,Emory University,MBA in Marketing,"Atlanta, GA"
20328,UC Berkeley,BA in Political Science,"Berkeley, CA"
20329,Patten University,MBA,"Oakland, CA"
20329,Mount Mercy College,"Bachelor of Science in (BS), Business Administration and Management","Cedar Rapids, IA"
20329,Kirkwood Community College,Associates of Science in Business Administration and Management,"Cedar Rapids, IA"
20329,Kirkwood Community College,Associates of Marketing in Marketing Management,"Cedar Rapids, IA"
20330,Northern Virginia Community College,A.S. in Information Systems Technology,
20330,University of the District of Columbia,A.A. in Legal Assistant,
20331,Gwinnett Technical College,BACHELOR in LAW,"Lawrenceville, GA"
20331,University of Kent at Canterbury,,Canterbury
20332,NM Institute of Mining & Technology,Bachelor of Science in Mathematics,"Socorro, NM"
20332,University of New Mexico,Associates of Applied Science in Applied Science,"Albuquerque, NM"
20333,Wittenberg University,BA in Religion,"Springfield, OH"
20333,Washington Hospital Center School of Nursing,Diploma in Nursing,"Washington, DC"
20333,Johns Hopkins University,Oracle DBA,"Columbia, MD"
20334,University of Phoenix,Certification Pharmacy Technician/Bryman College Diploma,
20334,Belle Chasse High School,,"Belle Chasse, LA"
20335,CALIFORNIA STATE UNIVERSITY LONG BEACH,Bachelor of Science in Health Care Administration in Health Care Administration,LONG BEACH
20335,PASADENA CITY COLLEGE,Associate in Arts & Associate in Science in Applied and Liberal Arts Studies,PASADENA
20336,TARLETON STATE UNIVERSITY,Bachelor of Business Administration in Business Administration,"Stephenville, TX"
20337,Bowie State University,B. S in Business Administration,2009 to 2013
20338,San Jose State University,Bachelor of Science in Business Administration / MIS,"San Jose, CA"
20339,University of Texas at San Antonio,Master of Science,"San Antonio, TX"
20340,Minnesota State University,Master of Science in Computer Science,
20340,N.E.D. University of Engineering and Technology,Bachelor of Engineering in Electrical Engineering,
20341,"Wagner School of Public Service, New York University",Master's in Management,NY
20341,"Silver School of Social Work, New York University",Master's in Social Work,NY
20341,Bowie State University,M.S. in Computer Science,"Bowie, MD"
20341,Mumbai University,B.S. in Mathematics,"Mumbai, Maharashtra"
20342,Old Dominion University,Associate of Applied Science in Information Systems Technology,"Charlotte, NC"
20342,ECPI,,"Virginia Beach, VA"
20342,Tidewater Community College,Associate in Information Systems,"Virginia Beach, VA"
20343,Osmania University,Bachelor's Degree in Computer Science & Engineering,"Hyderabad, Telangana"
20344,Communications University of the District of Columbia,,"Washington, DC"
20345,California State University,Bachelor of Arts in Child Development,
20346,Pondicherry University,Bachelor of Engineering in Computer Science,Computer Science
20347,"Harvard University, Extension School",Certificate,
20347,Cornell University,BS in Biology,
20348,"ICFAI University - Chennai, Tamil Nadu",Master in Computer Applications,"Chennai, Tamil Nadu"
20348,"Madras University - Chennai, Tamil Nadu",Bachelor of Science in Computer Science,"Chennai, Tamil Nadu"
20349,Bachelor's,,
20350,Clemson University,Civil Engineering,
20351,Middlesex County College,Accounting,"Edison, NJ"
20352,Barkatullah University,Bachelor of Engineering in Electronics & Communication,"Bhopal, Madhya Pradesh, IN"
20353,City University New York,Associates in Management,
20353,"California State University - Dominguez, CA",Bachelor of Science Information Systems,
20353,"George Washington University - Arlington, VA",Certificate in Managing Projects (ESI),
20353,"Oracle University - Reston, VA",Certificate in PeopleSoft Financials General Ledger Release 9.1 CPE,
20354,North Carolina State University,,"Raleigh, NC"
20355,Wilmington College,Bachelor of Arts in Business Administration,
20356,Bellevue University,Bachelor of Science in Computer Information Systems,"Bellevue, NE"
20356,University of Maryland (UMBC),Master of Science in Information Systems,"Catonsville, MD"
20357,Florida Institute of Technology,M.S. in E-business,
20357,University of Maryland University College,B.S. in Information Systems Management,
20359,Northwest Mississippi Community College,Associate in Communications,"Senatobia, MS"
20359,Bartlett High School,High School Diploma,"Bartlett, TN"
20360,ATLANTA TECHNICAL COLLEGE,Associate Degree in Paralegal Studies,"Atlanta, GA"
20360,WIC COMMUNITY COLLEGE,Associate Degree in Computer Science,"Salisbury, MD"
20361,University of Alabama - Huntsville,Bachelor of Science in Computer Information Systems,"Huntsville, AL"
20361,Athens State College,,"Athens, AL"
20362,Palm Beach State College,Associate in Arts,"Lake Worth, FL"
20362,Wellington High School,Diploma,"Wellington, FL"
20363,University of Iowa,Bachelor of Arts in Psychology,
20364,Universidad Nacional Pedro Henríquez Ureña,,Santo Domingo
20365,,,
20367,University of Sto,Master in Business Administration,Manila
20368,National American University,Bachelor of Science in Computer Information Systems,
20369,Joel Spingarn,High school in Academic,"Washington, DC"
20370,"University of Missouri at KC, Bloch School of Business",BS in Information Systems,"Kansas City, MO"
20370,Kansas State University,,"Manhattan, KS"
20372,University of Maryland,B.S. in Electrical Engineering,May 2003
20373,WALSH COLLEGE,Master of Science in Finance,"Troy, MI"
20373,UNIVERSITY OF DETROIT,Bachelor of Arts in Accounting,"Detroit, MI"
20374,Park University,Bachelor of Science in Computer Science,
20375,Florida Metropolitan University,Certified (computer technician),"Fort Lauderdale, FL"
20375,Dillard High School,High School Diploma,"Fort Lauderdale, FL"
20376,American Sentinel University,BS in Information Systems,"Aurora, CO"
20376,Newbury College,AS in Administrative Assistant,"Boston, MA"
